排名,学校名称,国家,总分
673,费拉拉大学,意大利,-
674,卡尔·弗朗岑斯格拉茨大学,奥地利,-
675,海法大学,以色列,-
676,土耳其健康科学大学,土耳其,-
677,冰岛大学,冰岛,-
678,夸祖鲁-纳塔尔大学,南非,-
679,路易斯维尔大学,美国,-
680,卢森堡大学,卢森堡,-
681,马来亚大学,马来西亚,-
682,穆尔西亚大学,西班牙,-
683,维也纳农业大学,奥地利,-
684,新罕布什尔大学-达勒姆,美国,-
685,北德克萨斯州大学,美国,-
686,奥尔登堡大学,德国,-
687,奥维耶多大学,西班牙,-
688,萨勒诺大学,意大利,-
689,锡耶纳大学,意大利,-
690,南昆士兰大学,澳大利亚,-
691,托莱多大学,美国,-
692,的里雅斯特大学,意大利,-
693,怀俄明大学,美国,-
694,萨格勒布大学,克罗地亚,-
695,罗维拉-威尔吉利大学,西班牙,-
696,韦恩州立大学,美国,-
697,新疆大学,中国,-
698,约克大学（多伦多）,加拿大,-
699,浙江中医药大学,中国,-
700,浙江师范大学,中国,-
701,艾资哈尔大学,埃及,-
702,安徽农业大学,中国,-
703,安卡拉大学,土耳其,-
704,中国人民解放军陆军军医大学,中国,-
705,北京邮电大学,中国,-
706,比勒费尔德大学,德国,-
707,杨百翰大学-普罗沃,美国,-
708,中国药科大学,中国,-
709,重庆邮电大学,中国,-
710,中央大学（首尔）,韩国,-
711,忠北大学,韩国,-
712,忠南大学,韩国,-
713,伦敦大学城市圣乔治学院,英国,-
714,伊斯兰堡COMSATS大学,巴基斯坦,-
715,哥本哈根商学院,丹麦,-
716,巴拉那联邦大学,巴西,-
717,圣玛丽亚联邦大学,巴西,-
718,圣保罗联邦大学,巴西,-
719,嘉泉大学,韩国,-
720,广西师范大学,中国,-
721,哈西德佩大学,土耳其,-
722,翰林大学,韩国,-
723,哈尔滨医科大学,中国,-
724,河北医科大学,中国,-
725,河南师范大学,中国,-
726,赫瑞瓦特大学,英国,-
727,湖北大学,中国,-
728,仁爱大学,意大利,-
